asin	question	answer	category	imUrl	reviews	annotation_score
B002U0KDHI	  how do you calbrate the spreader to make the settings the same as scott spreaders 	  hi, i don't have the manual handy, but as i recall there is a cross reference to the scotts...........this is a very well made sturdy spreader..........it has a huge hopper, so you won't need to fill many times..hope this helps 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/51hEfsMxe3L._SX300_.jpg	"['The lever that controls the hopper flow kept jumping out of position so that the amount of fertilizer that was being applied was inconsistent.', ""No issues with my handle jumping out of it's setting."", 'The thrower needs to be spinning faster to send the fertilizer.', ""I didn't have any trouble with the lever jumping out of place, even on the rough terrain."", 'My only real complaint is when moving the lever from the &#34;off&#34; position to the &#34;on&#34; position it gets stuck.', 'I solved the problem by wiring the lever in place.', 'If assembled/adjusted per instructions, the drop chute handle works well spreading salt at a position between 5 and 6.', 'The instructions were clear - it just takes a while to set it up.', 'The adjustment lever is metal and there is a wing nut to set the amount of spread you want and can easily go back to it after you need to close it or stop.', 'Spreader assembly is simple and instructions reasonable.', 'spreader is worthless as a tow behind spreader, because you canot reach the on off controles from the average riding mower i use it with a zero turne toro ss 4235 time cutter .', 'I used the spreader today and it worked great towing it behind my lawn tractor.', 'I received the spreader last week and set it up in about 90 minutes.', 'The spreader went together with no issues or missing parts and took me about an hour to put together.', 'I only wish the hitch on the spreader was bent in a way to help the spreader tilt slightly more towards the rear to help the contents empty completely.', 'Does a good job I have only used this spreader a couple of times but I can tell you that it works fantastic.', 'This is a great spreader and the instructions were easy to understand and well packaged in sequence of how it needs to be put together.', 'The spreader was easy to assemble with well written instructions.', 'Spreader was all expected, not hard to follow directions for assembly and works very nice.', 'normal bumps on the ground help the salt to settle down the hoppera couple of times i tapped the atv throttle to jerk the hopper which also helped settle the salt down into the chute', 'i purchased the 130 lbs groundwork spreader from tsc and it didnt work well the 1st time i used it the trap door only opened half way and the adjuster wouldnt stay in place when riding over bumps', 'if youre spreading something that goes on pretty heavy lime for example as soon as you open the door it starts pouring out extremely fast causing the need to run to the mower to start going', 'the hitch pin for the tongue fork is long enough allow you to move the whole fork above the hitch and still make a connection', 'you can also see that agrifab made an adjustment to their drop spreader by getting rid of the control cable that pulled the trap door open and replacing it with a slider bar which is very easy to set properly', 'i placed 100 pounds of rock salt the kind purchased at home depot or lowes and the unit held perfectly while spreading pulled slowely behind an atv', 'this added an extra 112 needed to level the spreader to allow for dispersement of all contents of the hopper', 'i did as others suggested and created a small wood spacer to prevent metal on metal scraping between the tongue and hitch of the mower']"	[[1, 0, 1], [0, 0, 1], [1, 1, 0], [1, 1, 1], [1, 0, 1], [1, 1, 2], [3, 1, 2], [1, 1, 2], [1, 1, 1], [1, 3, 3], [1, 1, 1], [1, 2, 1], [0, 0, 2], [2, 1, 1], [0, 1, 0], [0, 1, 1], [1, 3, 0], [1, 3, 2], [2, 1, 1], [0, 1, 0], [1, 2, 1], [0, 0, 1], [2, 0, 1], [1, 2, 0], [1, 2, 1], [1, 1, 2], [3, 3, 1]]
B004DVDGA8	  Is the battery included? 	  yes. no oil for the chain 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/31DjA-tAaeL._SX300_.jpg	"['Wish it had come with a second battery.', 'I originally bought the one with the Ni-Cad battery.', 'The battery needs to be charged up.', ""We didn't buy an extra battery, we just recharged it and used it again."", ""What's in the box:It comes assembled with a battery and battery charger."", 'Just recharge the battery and grab a cold one.', ""Since I unpacked both tools together I don't know which battery and charger came with which, but both tools indicate those accessories are identical."", 'Likes:The lithium battery is light and charges quickly.', 'Comes with everything you need except the oil.', 'I already had purchased an Earthwise chainsaw; but not with the lithium battery.', 'Pretty much as described.', 'I WAS going to order a new battery when I found out I could buy a whole new saw with a Lithium Ion Battery for $30 more than a battery.', 'However, we took it on a recent camping trip and it broke.', 'I bought the Earthwise BL91026 18 Volt Lithium Ion 2.6 Amp Battery at the same time I bought my chainsaw.', 'Great little battery powered chain saw, does a good job cutting.', 'The battery that came with it only lasted 15 min, so I called the company and they sent me a new battery and it arrived real  fast.', 'I was wrong!!', 'while the lithium batteries on the bd are 20v and this is only 18v i felt that the larger size battery would provide more runtime since the short runtime on cordless tools is generally their great weakness the larger battery should help', 'the battery wore out faster when cutting up the tree than the hedges so battery life depends on the intensity of the job', 'whats in the boxit comes assembled with a battery and battery charger', 'i bought a higher capacity battery as well but the standard battery seems to have good staying power', 'this saw is ok for very light work the battery doesnt last very long as expected so i ordered a 2 amp spare when i ordered the saw', 'it is not as fast as cutting with a gas saw or cord saw because of the battery power', 'usageafter charging the battery i began to use the chain saw to cut 5 x 5 planks of hardwood', 'likesthe lithium battery is light and charges quickly', 'more like the chain is taking too deep of a cut but the chain is a standard oregon chain so i doubt that the problem is improper cutter depth']"	[[2, 2, 2], [3, 2, 1], [1, 2, 2], [1, 2, 2], [3, 3, 3], [1, 2, 1], [2, 1, 2], [3, 3, 2], [3, 3, 3], [1, 0, 2], [0, 2, 0], [0, 3, 3], [0, 2, 0], [2, 1, 3], [1, 1, 0], [3, 2, 3], [0, 0, 0], [0, 1, 1], [2, 0, 1], [1, 2, 3], [1, 1, 2], [0, 3, 0], [0, 0, 2], [0, 1, 2], [1, 1, 1], [0, 0, 0]]
B003LR4WZI	  does it work or not 	  Mr. Tucker... NO it does not work.. 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/51HNG9%2BrA8L._SY300_.jpg	"['This bug zapper does work as advertized.', 'It does not work when plugged in, only on battery.', ""This unit only works on it's internal battery."", 'Pros: does everything you expect a bug zapper and UV light should.', ""Other similar (more expensive) mosquito traps don't work either."", 'Has to work on the recharged battery which only lasts a couple of hours.', ""Now don't get me wrong, it does get the bug zapping job done, which is why I gave it more than one star."", 'I like the zapper because the noise tells me it is working.', ""If the bulbs don't attract bugs then these zappers can't work."", ""It does work while plugged in though while other reviews said it didn't."", ""It didn't work."", 'When I received this item, it did not work.', 'This unit looks great but it does not work.', 'It works but is too much trbl.', ""worked ok but didn't hold charge it did work but charged for over24 hours and was dead in two days It came before the time it said and it works great."", ""didn't work after receiving two of them neither one worked sorry product."", ""CLEARLY THERE WAS NO REASON FOR IT NOT TO WORK I STORED IT IN IT'S ORIGINAL BOX AND PUT IT AWAY IN A CORNER IN THE BASEMENT."", 'This will be the second time I have ordered a bug zapper from Amazon and it has not worked.', 'It does work but would have been much more useful if it ran on the charger voltage like every other device I have that needs battery charging.', ""Don't know if problem is with the charging cord or appliance itself."", 'this year it is dead does not turn on the instrumentation people at my job opened it up and found the battery will not take a charge', 'i purchased this indoor bug light to kill the nat problem in my house', 'i returned the first one i bought cause would not come on or charge when the adapter was pluged all the way in and ordered another it does the same thing the only way it will work is if you barely plug the charger in to where it wont even stay and falls out if you move it and even then it only comes on but will not charge', 'fix it so the zapper can charge and zap at the same time or add a solar power charger to the case', 'while it may state this in the copy somewhere this device only runs on the battery', 'i went to charge the unit with the supplied power pack but could not get a light on indicating it was charging', 'led light didnt turn on when i plugged it in and i pulled it out and saw light flash', 'itll work but it really does take 58 hours to fully charge', 'it worked fairly well with flies and fruit flies for over a month']"	[[3, 3, 3], [2, 2, 3], [1, 1, 3], [0, 2, 1], [3, 3, 2], [1, 3, 2], [3, 2, 2], [2, 2, 2], [2, 2, 1], [3, 3, 3], [3, 3, 3], [3, 3, 3], [3, 3, 3], [3, 3, 3], [3, 3, 3], [3, 3, 3], [1, 3, 3], [3, 3, 2], [2, 3, 3], [0, 2, 1], [0, 2, 2], [3, 1, 0], [2, 3, 2], [1, 2, 0], [1, 2, 3], [3, 2, 3], [3, 2, 2], [3, 1, 3], [3, 2, 3]]
B00022KIQW	  can it be grown in south louisiana 	  The warmer, humid climes of Louisiana would be great for Holy Basil. But I would recommend getting it from another seller, this company is a scam sending some other seeds instead of holy basil. 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/411F17GHGKL._SX300_.jpg	"[""How I was hoping to recreate authentic Ga Pow Gai in America, but this isn't Thai holy basil."", 'I switched to African Violet mix and they sprouted.', 'The did not grow.', ""the holy basil is still going strong even though we're in the dead of winter."", 'It sprout but not in good shape after 4 weeks, I live in south florida.', ""I was very excited to try the Holy Basil, but I didn't realize that it was shipping from India."", 'The seeds never grew.', 'the problem I am having is that he sprouts are not surviving.', 'I had these seeds for sometime and planted them this summer.', 'They are sprouting and growing well.', 'It came from Kochi, India but no seeds except just dry flakes.', 'We will try to buy locally.', ""Seeds didn't germinate ..."", 'Thanks Amazon for having a forum to purchase Tulasi in United States.', 'The year before another brand bloomed into a nice bush of basil - this did not grow anything after three tries - avoid this seller I ordered this on 2/28/14 and did not receive it until 5/5/14.', 'Bought the seeds in April 09 and they sprouted with in a few weeks.', 'they seem to be mostly plant debris with maybe a few seeds mixed in but not sure if there really are seeds since they dont seem to want to grow', 'the seeds germinated as expected in around a weeks time and the plants are looking great', 'the seeds came in a small clear plastic zip bag with a 34holy basiltulsi34 stick affixed to it', 'the seeds took a while to be delivered but here was a good amount in the order', 'i was very excited to get holy basil but after waiting over a month the seeds were safflower seeds not what i ordered', 'i planted all the seeds and none of them came to life', 'the seeds came in a small plastic bag with no label and no planting instructions']"	[[0, 0, 0], [0, 0, 1], [1, 0, 2], [1, 2, 0], [1, 2, 2], [0, 0, 1], [1, 1, 3], [1, 0, 0], [2, 1, 1], [1, 0, 1], [0, 1, 1], [0, 3, 0], [2, 3, 0], [1, 0, 0], [1, 0, 3], [0, 1, 3], [1, 1, 0], [1, 2, 1], [0, 0, 0], [0, 0, 3], [1, 1, 0], [0, 1, 0], [0, 1, 0]]
B000E3XNC0	  Is there an option to move the door to the side (instead of the end, as pictured)? 	  I was able to do this with a few alterations. 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/51yh5XdZNmL._SX300_.jpg	"['I also put steel caster wheels on one side so that it can be relocated with the use of a tractor.', ""I really didn't like the way the roof was configured in this kit."", ""You'll need the skill to frame a door and hang it with hinges and a latch of some sort."", ""You have to take your time and follow the instructions, but it's all there."", 'plus it can be added to others to give you added room with no issues.', ""One thing though, the joist make it so you can't just install a ceiling."", 'And screwing the brackets to the wood is the way to go.', 'Just take your time and follow the directions page by page.', 'I had to redesign the walls to make it work.', 'Very easy to follow directions.', 'Have it cut for you there, or take it all home and cut it to the indicated sizes yourself.', ""But that's only if you wanted to insulate or finish the inside."", 'Trying to nail it will only cause you frustration.', 'That was to cover bottom, tops, and all sides for those of you looking to use as a chicken run.', 'This is crap.', ""If you are using it for a storage shed, it isn't an issue."", 'I think I am going to have to pull it all down get rid of the crap worthless brackets and the instructions (ie the whole shed kit) and finish this thing with some free guides on the internet.', 'additional detailsthe support brackets that connect the 8 2x4s to the floor seemed cheap but the brackets for the roof made it easy to put together', 'i bought the basic 7 x 8 kit and modified for my needs to build a 4 x 8 shed with all the trim', 'i used 3434 plywood for my floor which turned out to be too deep for the brackets to attach the walls to the floor', 'nice shed sturdy easy assembly even adjusted the size without much difficulty to 6434 x 5734 and 5 walls to save money on materials', 'costwe bought some heavy tongueandgroove particle board recommended for flooring standard 2x4 studs economy particle board for the roof and smartside composite paneling for the walls 25 year 3tab shingles 3 squares but used about 2 12 tar paper caulking concrete blocks concrete and mortar mortar tool aluminum trim for the roof the screws and roof nails and the basics kit', 'the words shed kit sounded like a complete structure', 'after purchasing the lumber the whole shed cost me about 400', 'the frame is flimsy because this is not wood joinery used to make furniture', 'this shed kit is pretty worthless']"	[[0, 0, 0], [1, 0, 1], [2, 0, 2], [0, 0, 3], [0, 1, 2], [0, 1, 1], [0, 3, 1], [1, 0, 3], [2, 1, 2], [0, 0, 3], [3, 3, 2], [1, 2, 0], [0, 0, 2], [1, 1, 1], [0, 0, 2], [0, 2, 1], [0, 1, 0], [1, 0, 1], [1, 0, 0], [1, 1, 0], [1, 0, 3], [0, 2, 2], [0, 0, 0], [0, 0, 0], [0, 1, 1], [0, 0, 0]]
B003TQMBZE	  Does it come with the base stand shown in the photo? 	  No. 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/31Xn1IZQJHL._SY300_.jpg	"[""Perfectly packaged did not come with instructions but they really weren't needed."", ""Unfortunately, it didn't come with directions, but were able to find general directions for an autotilt umbrella online."", 'I had never seen a rectangular umbrella and was excited when I found this one!', 'I hesitated to order this at first due to the lack of description but it arrived in ONE day!', 'All you have to do is screw the pole to the umbrella and add the top.', 'Nice canopy but very poor quality, fragile post assembly, one tip over and it breaks.', 'Overall, we like our umbrella.', 'Well worth the money.', 'Wow, I shopped around for a long time to find an umbrella of the shape, size and value.', 'Rectangular umbrellas are getting harder and harder to find and replacing these are getting costly.. Love this umbrella, provides full coverage for the table.', 'thank God I did not buy another one, I have gone to another manufacturer.', 'It works great!', ""We've received many compliments on the product."", 'It does more than it promised.', 'this is probably the poorest umbrella I have ever bought.', 'But the second one I received has worked perfectly!', 'Not the quality expected for the price.', 'the wind flaps at the top of the umbrella dont appear to do much for protection so on the first one the umbrella leaned slightly which broke the tilting mechanism on the shaft of the umbrella and busted the glass tabletop as well even though the center hole was protected with a table ring', 'love this umbrella provides full coverage for the table', 'putting this umbrella on my patio nicely blocks the bulk of it and shades us very well when i am entertaining guests on my patio table and chairs', 'for the most part we have summer weather year round and if we have wind that might pose any damage to the umbrella we fully close it and secure it', 'these umbrellas come much more expensive and much cheaper and though i cant compare the quality with the pricing it seems to be a good quality in the mid range of cost', 'the pull rope was somehow wrapped around one of the umbrella fabric supports and we couldnt get it to work properly so after reading directions online we realized what the problem was and slipped the rope under the support', 'although i had to return the first one because of a defect the pull line was frayed and i could not fully open the umbrella']"	[[1, 0, 0], [0, 2, 1], [1, 0, 1], [0, 0, 0], [0, 3, 1], [2, 0, 1], [0, 0, 0], [0, 0, 0], [0, 2, 1], [0, 0, 1], [0, 2, 0], [0, 0, 0], [1, 1, 0], [3, 0, 2], [0, 0, 0], [0, 0, 0], [2, 0, 0], [1, 0, 1], [1, 1, 0], [0, 0, 0], [0, 0, 0], [0, 0, 2], [3, 3, 1], [0, 0, 0]]
B001BMDFPS	  Where to get replacement Battery, First Power FPM7-12 [12V7.0Ah] motorcycle battery ? 	  Bring the battery to Interstate Battery and they usually can match it up. 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/51KMlHWHpGL._SY300_.jpg	"['I replaced the volt meter myself.', 'I received a package from MaxTool on December 8, 2011 expecting a new volt meter in it.', 'I actually ordered the recoil start generator, but they must have been out of them and upgraded me to the electric start unit.', 'I picked up a power adapter plug for the generator (Camco 55338 PowerGrip 30 Amp 4-Prong Generator Adapter ) and also one other item.', ':) Ordered this DuroMax XP4400E 7 HP Electric Start on July 5th 2012 thru AMAZON.', 'I purchased a XP4400E generator in early November, 2011.', 'We purchased the DuroMax XP4400E, the E is for electric start, she insisted on that.', 'Will buy a Generator with a Honda motor next time.', ""Wasn't for sure if I needed to switch the 120/200 volt switch on when using a 30amp RV adaptor because my RV is 120v."", 'Just before purchasing it, on an impulse I decided to get the model with the battery powered electric starter, instead of the one that has a rip-cord.', 'I bit the bullet and bought 2 honda 2000 series generators instead.', 'Do yourself a favor and buy from some other smarter company Was called by UPS to be available for a required signature for the product.', 'the replacement one works fine.', ""I called the company listed in the user's guide."", 'Thank you Amazon.', 'had to get a replacement.', 'Where to call?', 'I talked to the department that ships out the replacements, and actually talked to the guy who shipped my parts.', 'I contacted Amazon by email and within 2 hours another one was on the way.', 'after filling with gas and oil and connecting the negative battery wire to the battery it started right up', 'the battery was connected to the solenoid by the positive red wire but low and behold no black wire connected to the battery and none in sight', '0 hp ohv 4cycle gas powered portable generator with wheel kit and electric start even came with a battery easy to set up great deal thanks jim', 'i mainly ran a battery charger to keep the trailer batteries charged didnt have to run the ac much and i only used one tank of gas', 'the bolts that hold the battery cables to the battery are hard to work with', 'after assembly and adding oil gas and connecting battery the generator cranked immediately', 'i put in 20 oz of oil sold sepperately added fuel attached the positive battery terminal put one of the two keys supplied in the ignition turned the choke lever to start position and my generator instantly started', 'ok this generator has been great except that during the first year the electric start stopped working and not the battery', 'not quite enough power in battery to power up initially but with the pull starter it started on the 2nd crank', 'pros electric start came with wheel kit wheels feel like air filled but have a solid filling to prevent flats comes with an angled oil funnel its cheaply made and comes in two pieces but it does the job that its intended to do gas tank has an internal screen that can be removed to prevent debris from getting into the gas tank key start albeit anyone that really wants to steal the generator and always hotwire or replace the switch with a toggle switch but at least it causes the thief to do a little work']"	[[0, 0, 1], [2, 1, 0], [3, 0, 1], [0, 0, 3], [3, 2, 1], [1, 0, 0], [1, 0, 0], [0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 2], [3, 1, 1], [3, 1, 0], [2, 1, 2], [0, 0, 3], [1, 0, 1], [2, 0, 0], [2, 0, 1], [2, 3, 1], [0, 0, 1], [1, 1, 0], [0, 1, 0], [2, 1, 0], [2, 0, 0], [0, 0, 3], [2, 0, 0], [1, 0, 2], [1, 1, 0], [2, 0, 0]]
B00B8A33EG	  does this cart rust? 	  No 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/41k1wri71zL._SY300_.jpg	"['So far I have had no issues.', 'Even the heaviest bins are no problem with the cart.', ""I've owned two similar products in the past, both of which broke/rusted after a month or so of use (and they were priced at $60+ from Ace Hardware)."", 'The cart is much stronger than I thought it was going to be.', 'It rolls smoothly, stays in place, and has yet to break even full of heavy glassware and rainwater from being left outside overnight (and no rust either!).', ""Much better than other carts I've used."", 'The recycle cart is great!', 'The only thing is that the clips that hold the bins are made of plastic (although a sturdy plastic) so I hope they last.', ""The cart does not get any abuse as I leave it in my garage and remove bins from cart at the curb so it can't get tossed around by the trash collector or run over."", 'Wow, this recycle cart is perfect.', 'I would buy this cart again.', 'This cart has changed my life!', 'I had seen recycle carts around town and was excited to find this one on Amazon.', 'i had trouble joining the top to the bottom because the holes were not in the right places and didnt line up', 'then the nuts that were to go on the 2 12 34 bolts wouldnt screw on all the way so the handle is very wobbly two additional spacers might have helped', 'ill use it to pile the crates on to haul them to the curb and back but i could have used my moving dolly for that', 'the recycle cart is easy to assemble', 'the brackets matched none of the openings on the crates']"	[[0, 1, 1], [2, 1, 0], [1, 1, 1], [1, 2, 1], [3, 1, 2], [1, 3, 0], [0, 1, 1], [2, 0, 3], [2, 0, 0], [2, 0, 1], [0, 1, 0], [0, 2, 1], [1, 1, 0], [0, 0, 2], [0, 0, 0], [0, 0, 2], [2, 0, 0], [1, 0, 2]]
B007N5UVDG	  does it have an inside zipper pocket? 	  Yes it does 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/51TCT5--zSL._SX300_.jpg	['But it is a cute bag.', 'Love this bag!', 'I purchased this bag because it is very cute.', 'A great beach bag.', 'This is a nice bag.', 'It zips everything in nicely or you can leave open & just overstuff.', 'Everything inside stayed dry and sand-free!', 'I can take a bottle of water, wallet, keys, towels, lotion, hairbrush, & even throw in some dry clothes.', 'Bought this as a gift for a beach lover and filled it with beach travel items nice bag great size for a trip to the beach Just what I was looking for and so far it is Waterproof.', 'For the design & functionality, this bag is a steal at this price.', 'Perfect for a day at the beach, heavy duty straps for a heavy load, very happy with this product might just order another The zipper is does not glide easy.', 'Very attractive bag everyone wants to know where I got it!', 'The picture looks nice online, but when i got it, it looked cheap, not quality work.', 'I bought two of these to take to the beach.', 'the handles are sturdy the bag carries easily comfortably', 'it is quite large and has a nice pocket in it', 'this bag is perfect it is waterproof and large enough for all the items we carry to the beach', 'lots of room for everything and still zipped up i love how the upper edge extends up so you can fit extra stuff in there', 'the is a great bag to take cloths to the pool for swimming', 'it holds so much stuff for when i go to the beach or on the boat', 'the zipper is does not glide easy']	[[1, 1, 0], [0, 0, 0], [0, 0, 1], [0, 2, 1], [1, 0, 0], [2, 1, 0], [2, 0, 1], [1, 1, 1], [0, 1, 1], [1, 3, 0], [3, 3, 2], [2, 0, 0], [0, 0, 1], [0, 1, 1], [1, 0, 1], [2, 1, 3], [0, 0, 0], [3, 1, 1], [1, 1, 0], [0, 3, 1], [1, 1, 2]]
B004RNOVTM	  Can this connect to the kitchen sink faucet? 	  With a proper adapter. It has a standard water hose fitting. Unscrew the filter screen on your kitchen faucet and take it to an ACE Hardware, Home Depot, or Lowes and ask someone in the plumbing department for a water hose adapter to fit the faucet you have and show them the filter screen threads from your faucet. If you are luck they will have one. If not sorry there are not adapters for all faucets. 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/51pohm4lMnL._SX300_.jpg	"['We got a quick connector so that the faucet can be kept on and I can hook up my watering hose without falling over the riding lawnmower.', 'Bought to attach faucet to hose reel but found out my hose reel just uses a clamp to attach the hose.', 'We connected this hose directly the outdoor hose connector to provide better quality water for them.', 'I just connect two hoses together.', 'This new hose has a very sturdy connector.', ""The hose ends are easy to connect to other hoses, and doesn't leak."", 'I wanted a hose that did not leak at connections - I had purchased two regular hoses from other manufacturers and both leaked significantly at the female end of the hose.', 'I can couple & uncouple this hose leakfree without tools.', 'Pliable, easy to connect to faucet, and also comes with additional options for better connection.', 'And I have to be really careful not to move the connector on the faucet end of the hose or water will shoot out of it -- cheap bad connector quality.', 'I, would buy again , thanks But this owes to use in conjunction with the new faucet that I replaced on my RV for the outside shower.', 'And I HATE having to walk the line back to the faucet undoing multiple kinks.', 'I used this in our basement to feed water from a basement faucet to an outside faucet I installed.', 'I would not recommend this unless you are within 5 feet of your hookup.', 'When I found this one I decided to try it although we will not be drinking water from it.', 'The water tastes like from the kitchen faucet at home.', 'this hose is just the right length for my hot water heater when i drain the sediment from inside the tank the only problem with the hose is that the female end does not swivel very nice its hard because it is rubbing against the rubber gasket', 'this hose was the perfect size to run from the faucet in my storage building to the wall near the door', 'this beautiful camco water hose is drinking water safe the machined fittings do not wear or leak or leach lead into the water its both light weight strong theres no residual plastic taste to the water it doesnt kink after you lay it straight in the sun the larger 5834 diameter allows greater water volume its inexpensive and it comes in a beautiful royal blue', 'this is a great little hose we got to use on our deck for watering our fruit and edible plants without hauling out the watering can all the time', 'even thought this is advertised and rated as a drinking hose i use this as a connector hose to connect my hose reel cart to my water outlet', 'i bought this hose and a water pressure regulator to replace a burst hose and no regulator', 'bought this to replace a leaking and longer hose attached to my pool cover pump', 'and they dont match because the extension is green and has brass metal and the blue hose has silver metal', 'although you are not supposed to leave this under permanent pressure i bought it as a the leader to a spigot extender so that i wouildnt have to climb into the bushes to turn the hose on and off']"	[[1, 3, 3], [2, 1, 1], [1, 3, 2], [2, 2, 1], [0, 1, 1], [3, 1, 0], [0, 0, 1], [2, 2, 1], [3, 3, 3], [2, 1, 1], [0, 0, 1], [2, 2, 2], [3, 0, 2], [1, 3, 2], [0, 2, 0], [1, 1, 0], [2, 1, 1], [2, 0, 1], [1, 0, 1], [2, 2, 1], [3, 2, 0], [0, 2, 1], [1, 1, 1], [3, 1, 2], [2, 0, 1]]
B001OK4J8E	  Will this PTO Clutch fit a club cadet i1042 	  Thank you for considering AMC Parts Store for your mower parts. According to my research, you need PTO clutch part #717-04526, which unfortunately we do not stock. -AMC Parts Store. 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/31%2BW%2B%2BNgojL.jpg	['Used on 2005 LT1050 Cub Cadet.', 'If you have a LT1050 I recommend it highly.', 'I have a 2005 LT1050 Cub Cadet.', 'This PTO Clutch was the very same part that came on the mower.', 'Definitely recommend and put Cub Cadets Cadillac parts prices out of business.', 'Have used lawn tractor about six hours since replacement and it functions perfectly so far.', 'compared to Cub Cadet for $384.??.', 'It fit perfect.', 'Fast shipping, the PTO clutch fit perfectly, and the lowest price that I could find.', 'Works like new.', 'Very satisfied!!', 'Worked like a charm for $192,??', 'it was new and was shipped to me fast']	[[2, 1, 2], [1, 2, 2], [1, 0, 0], [1, 2, 1], [3, 1, 1], [2, 1, 0], [0, 2, 0], [3, 3, 3], [3, 3, 1], [1, 0, 2], [1, 0, 0], [1, 3, 0], [0, 0, 0]]
B007REM38O	  Has anyone found a curtain or shade panel that mounts to the Madrid gazebo to keep the sun out? 	  I went to Ollie's bargain store--bought two shower curtains and hooks--put them on the sunny corner--success! 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/41t3fnHtRgL._SX300_.jpg	"['I strongly recommend anchoring the gazebo in accordance with the instructions.', 'I was looking for a replacement gazebo with a hard top.', 'Wow.-  No mounting hardware supplied for decks.', 'The gazebo is well made and is an attractive addition by my pool.', ""I think this is the 5th gazebo I've installed on my deck."", 'This is a very well designed gazebo and quite robust once assembled.', 'Be sure to screw it down to a deck or a patio.', 'It keeps the shade in and the sun out.', 'It really looks great on my deck.', 'The $500 version had a decorative metal cover that slide down the post to cover the hardware.', ""So, if you don't mind having an army gray gazebo of reasonable quality for 3 times what you would pay at a box store, it's a good buy."", ""Note that the gazebodepot doesn't ship them, it comes from the manufacturer."", 'Remember, I paid $1,400 for this gazebo.-  236 bolts and screws.', 'I purchased and assembled the gazebo in May 2013.', 'the plastic film protecting the roof panels is assembled under the frame pieces so its very difficult to remove cleanly', 'the plastic roof sheets held up fine and i was able to brush off the snow with no problem', 'the design is odd because it has no cross members from the legs to the arms', 'i had a professional company come out and assemble', 'a brown shade', 'we followed the instructions we first counted and inventoried every nut bolt and piece we read ahead to know where we were going next and we took our time', 'so far we have really enjoyed our gazebo', 'yes there are 2 semipermanent do not come off clean on the top of each roof panel']"	[[0, 0, 0], [0, 1, 1], [0, 1, 2], [0, 1, 2], [1, 1, 2], [3, 1, 2], [1, 0, 0], [1, 1, 1], [2, 0, 1], [1, 0, 1], [2, 2, 0], [0, 1, 1], [1, 1, 0], [0, 0, 1], [2, 1, 1], [2, 0, 2], [0, 1, 0], [1, 0, 0], [0, 0, 1], [2, 0, 0], [0, 2, 1], [2, 0, 1]]
B00GJIDXG0	  Do these come with a lifetime warranty like the TV commercials say? 	  Well I purchased and mine was defective. The thing leak from the host coupling. I returned if for a full refund and I got charge for return shipping. So I would not trouble and find other similar product. I guess you would have to buy it from TV infomercial to get their warranty. 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/514%2BNYFjOiL._SY300_.jpg	"[""Since no refund is available,  I guess they'll be sending me a new hose every month."", 'Keep your money.', 'Got two weeks out of mine.', 'So I got charge for return shipping.', ""Very disappointed and won't be giving any more money to this company."", '$14 a watering is a little pricey.', 'Leaked after 1 month of use, 100% replacement guarantee but no refund.', 'They said the do not have it anymore.', 'I had thrown away the packaging, so could not return.', 'Should have returned.', 'Does not live up to TV ads!', ""Don't count on warranty."", 'So much for the lifetime warranty.', 'Is as advertised.', 'Guarantees are not what they say they are.', 'Can not return it even though it is under warranty Within 2 weeks this hose grew a big bubble and exploded all over me.', 'I think I have had it maybe 2 months.', 'The only thing I can say is that the seller gave  us a refund that was processed quickly.', 'so far this has not sprung a leak but do not trust it because of my experience with the 50 ft hose', 'also make sure the hose is in the shade so the sun doesnt damage the rubbery hose that is underneath the cloth', 'i use this hose with a faucet adapter to refill my 125 gallon aquarium during water changes', 'i like the light hose itself', 'i was excited to get his hose this was the black x hose', 'nothing can replace the good ole metal ended garden low or high pressure hoses', 'do not bother to buy these', 'these hoses are nearly junk but i buy them only because im afraid i could go off the deep end through uncontrolled rage dealing with the kinks and knots of a standard hose', 'the second week it sprang leaks along the hose itself']"	[[0, 0, 0], [1, 1, 0], [1, 2, 1], [0, 0, 0], [0, 1, 0], [0, 0, 1], [2, 0, 3], [1, 2, 3], [1, 0, 0], [0, 0, 0], [2, 1, 2], [2, 3, 2], [2, 2, 1], [3, 3, 3], [0, 1, 2], [2, 3, 3], [0, 0, 1], [1, 2, 2], [1, 0, 0], [0, 1, 1], [0, 0, 0], [0, 0, 0], [0, 1, 0], [0, 2, 1], [0, 2, 0], [1, 0, 2], [0, 0, 0]]
